fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D1637.csv,74394.57251722868,230424.0276186924,189772.05553902572,145879.88309499618,53586.29494992702,73266.64526139808,88767.27307639322,79397.380627712,345503.1929824561
D3623.csv,827.5217945153352,785.7961763565968,826.6744324344692,368.9127142065253,336.3439937267449,362.7931134259259,435.7568788845108,479.95236011822186,1409.0477345463685
D2052.csv,107426.09489325628,98536.43237832576,1281621.4611793032,68951.31565859559,74195.28976946576,88071.74646825397,59839.45122850169,79914.3780091784,495589.19126984145
D3618.csv,1135.5417994644959,1468.0776539254919,3043.4344968567207,1132.7129914704356,1355.759757807533,1009.8692340856519,684.7949963949212,769.2987465532533,1733.5647916666665
D136.csv,410906.2823341608,906774.9679957313,2286490.1830369784,453192.62063340336,509743.39255617297,817573.2639740717,187979.82457904157,341629.7802497519,849592.3718774653
D41.csv,450973.8177395898,5359219.510399778,450873.45956483175,5336800.312968797,5438242.977711287,5348934.180347219,443836.9842461485,443836.9842461485,5476241.66680989
D1643.csv,9313.570489039563,42352.22364341672,9920.648425782778,35081.09466344931,40804.11696325316,36133.18365488681,9465.443129208317,9384.358496674466,55113.4321811386
D2050.csv,2522.2449059107853,11637.737707172892,2521.4877123927176,14448.331219197738,10303.121448379523,2418.00077330137,1998.3850274771887,2047.1636081971878,2344.22092295082
D2065.csv,4685.40817897941,10593.415449162461,4686.155356352703,13994.086327225932,14758.687816478157,8872.148785790945,4758.943412522798,4758.943412522798,18098.403923121943
D32.csv,22087.869031883045,12856.149309782642,22683.982197723624,15628.080487130454,16523.91098925451,15305.027645061718,19217.508722004266,19217.508722004266,44533.90884431343
D46.csv,204419.34806258028,324729.28803137026,277132.8062168913,220014.91220334903,321439.4514577333,103002.54382716073,163808.47732680646,190859.80040984927,202120.07799999983
D162.csv,1028.5015515402392,1927.5985599126448,1110.8862596679508,2104.8516137468655,2051.9896336217316,841.9314540816322,1015.6272203139677,986.1028668567624,852.6100772019958
D31.csv,22086.72656827058,12856.149309782642,22683.982197723624,15628.080487130454,16523.91098925451,15305.027645061718,19217.508722004266,19217.508722004266,44533.90884431343
D2061.csv,2588.768210070065,8815.164371344708,2590.7570764595575,7303.208112900585,6690.938158428544,7322.418680272098,2522.3184781708737,2519.4276577536325,9784.522403729092
D176.csv,24789.579173280705,141355.17385101697,26121.51647435422,170557.8239681832,163777.236796115,141746.78292310485,28105.17969350155,27636.84244768882,203235.11408982507
D168.csv,368.82433474986703,460.9884524976292,397.3269447889712,782.7815341410618,479.3115605977404,480.8429910731166,439.1792460883929,440.9455208159326,932.0111794193512
D3613.csv,95432.32741410918,499616.3179680094,103832.20876390769,289992.97329028853,431995.46371917886,276539.6516393443,109471.82716560223,104754.40967514682,450756.86475409835
