fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D1637.csv,272.75368469963644,480.02502811696434,435.62834565604857,381.942250994828,231.48713776347708,270.6781211354144,297.9383712723039,281.7754081315685,587.7951964608559
D3623.csv,28.766678545069034,28.032056227765327,28.751946585135226,19.207100619472094,18.33968357760692,19.047128744929665,20.8747905111527,21.907815046649947,37.537284592074165
D2052.csv,327.7592026065115,313.90513276836646,1132.0872144756795,262.5858253192574,272.3881234001691,296.7688434931369,244.62103594846803,282.691312227982,703.9809594512067
D3618.csv,33.69780110726063,38.31550148341389,55.16733179026081,33.65580175052194,36.82064309334552,31.7784397679567,26.168587970980038,27.736235262797532,41.636099621202106
D136.csv,641.0197207061268,952.2473250136917,1512.114474184074,673.1958263636245,713.963159102886,904.1975801638001,433.5664015800135,584.4910437720597,921.7333518309215
D41.csv,671.5458418749905,2314.9988143409014,671.471115957218,2310.151577920548,2332.004068973999,2312.7762927588174,666.2109157362618,666.2109157362618,2340.1371042761343
D1643.csv,96.5068416695913,205.79655887166024,99.60245190648058,187.29947854558836,202.0002895127954,190.0873053491127,97.29050893693751,96.87289866972324,234.76250165036708
D2050.csv,50.221956412616834,107.87834679477106,50.21441737581666,120.20121138822911,101.504292758383,49.17317127561908,44.70329996182819,45.24559214108252,48.4171552546287
D2065.csv,68.45004148267121,102.92431903667112,68.45549909505228,118.29660319394607,121.4853399241166,94.19208451770746,68.985095582472,68.985095582472,134.53030856696176
D32.csv,148.61988101153574,113.38496068607442,150.61202540874226,125.01232134126002,128.54536549115457,123.71349014986893,138.6272293671206,138.6272293671206,211.0305874614233
D46.csv,452.12757940937456,569.8502329835185,526.4340473572081,469.0574721751579,566.9563047164511,320.9400938293013,404.7325997826299,436.87503981098445,449.5776662602357
D162.csv,32.070259611363284,43.90442528849051,33.32996039103483,45.878661856541385,45.29889218978464,29.016055108881226,31.868906795087398,31.402274867543632,29.199487618826392
D31.csv,148.616037385844,113.38496068607442,150.61202540874226,125.01232134126002,128.54536549115457,123.71349014986893,138.6272293671206,138.6272293671206,211.0305874614233
D2061.csv,50.87993917124965,93.88910677679658,50.89948011973755,85.4588094516919,81.79815498181205,85.57113228345233,50.22268887834336,50.19390060309751,98.9167448096079
